[45,0.2434953,0]
[169,0.3805661,0]
[64,0.305025,0]
[140,0.2154296,0]
[168,0.2494311,0]
[346,0.3278763,0]
[329,0.2436852,0]
[341,0.3508025,0]
[105,0.3666712,0]
[353,0.3802306,0]
[180,0.3860143,0]
[199,0.2952777,3.366135]
[351,0.3190241,0]
[272,0.3208542,0]
[48,0.2462952,0]
[248,0.2823741,0]
[268,0.2090494,0]
[228,0.2716324,0]
[336,0.3859558,0]
[249,0.3100581,0]
[272,0.2732708,0]
[212,0.2213597,0]
[82,0.2814944,0]
[36,0.3676309,0]
[262,0.3423543,0]
[254,0.3840066,0]
[247,0.245886,0]
[159,0.2398561,0]
[51,0.3429341,0]
[34,0.2897103,0]
[305,0.2203844,0]
[69,0.2233337,0]
[27,0.2818606,0]
[68,0.3225252,0]
[158,0.3619866,0]
[76,0.336696,0]
[165,0.2111747,0]
[3,0.3961126,0]
[226,0.3469283,0]
[211,0.2007821,0]
[2,0.3571468,0]
[317,0.3431189,0]
[134,0.3224346,0]
[61,0.3125944,0]
[274,0.3673611,0]
[221,0.328854,0]
[97,0.2025321,0]
[114,0.360861,0]
[275,0.2491739,0]
[131,0.3126582,0]
[224,0.3685769,0]
[246,0.284102,0]
[1,0.3852758,0]
[293,0.2076595,0]
[328,0.2371171,10]
[145,0.2375673,0]
[205,0.2819699,0]
[312,0.2222168,0]
[128,0.3249324,0]
[124,0.2588684,0]
